Year;Month;Day;Hour;PM10;PM2.5;NO2;O3
2016;2;9;0;8.542771;2.484494;0.600389;44.695574;
2016;2;9;1;9.118188;2.593940;0.588189;44.529890;
2016;2;9;2;9.019297;2.654069;0.561745;44.478536;
2016;2;9;3;10.215645;3.078117;0.596828;44.348650;
2016;2;9;4;9.764691;2.908243;0.524500;44.832410;
2016;2;9;5;10.854302;3.202299;0.530605;44.949013;
2016;2;9;6;12.014962;3.578967;0.658626;44.870310;
2016;2;9;7;11.954957;3.533759;0.819578;44.836395;
2016;2;9;8;11.990653;3.529226;0.777213;44.779013;
2016;2;9;9;12.333334;3.617845;0.644393;44.518463;
2016;2;9;10;13.503255;4.001949;0.569970;44.368274;
2016;2;9;11;14.344470;4.203485;0.522717;44.558598;
2016;2;9;12;15.176211;4.471852;0.508655;44.814848;
2016;2;9;13;15.839580;4.661843;0.490778;45.065578;
2016;2;9;14;16.264556;4.843450;0.493986;45.370538;
2016;2;9;15;16.075710;4.875884;0.515398;45.738078;
2016;2;9;16;16.685415;5.122998;0.641446;45.721914;
2016;2;9;17;18.556159;5.783961;0.734763;45.347078;
2016;2;9;18;20.893780;6.588476;0.713919;45.139097;
2016;2;9;19;22.651091;7.209431;0.673481;44.670238;
2016;2;9;20;22.815893;7.349245;0.619234;44.419265;
2016;2;9;21;19.496467;6.338873;0.538369;44.605938;
2016;2;9;22;17.838663;5.788606;0.516194;44.522806;
2016;2;9;23;17.955791;5.726732;0.513962;44.178830;
2016;2;10;0;18.948593;5.897384;0.469097;44.021233;
2016;2;10;1;18.520553;5.627047;0.397726;44.109791;
2016;2;10;2;18.421797;5.546149;0.420528;44.034816;
2016;2;10;3;18.282486;5.468507;0.416592;44.209435;
2016;2;10;4;19.686259;5.879674;0.403891;44.007957;
2016;2;10;5;21.590710;6.378309;0.424097;43.539098;
2016;2;10;6;23.312608;6.793002;0.518682;42.889313;
2016;2;10;7;25.174196;7.244890;0.688376;42.071355;
2016;2;10;8;23.025435;6.593918;0.746203;42.100144;
2016;2;10;9;17.559583;5.057026;0.683745;42.596245;
2016;2;10;10;15.988933;4.547780;0.650288;42.544382;
2016;2;10;11;13.808691;3.908676;0.704763;42.692758;
2016;2;10;12;12.503293;3.547766;0.811331;42.758883;
2016;2;10;13;10.540857;2.947715;0.835251;43.035138;
2016;2;10;14;9.875779;2.751060;0.905515;42.789349;
2016;2;10;15;9.888591;2.671849;0.916923;42.767410;
2016;2;10;16;9.741064;2.614084;1.074432;42.411327;
2016;2;10;17;8.935545;2.633262;1.546497;41.795780;
2016;2;10;18;8.465934;2.462963;1.348395;42.599764;
2016;2;10;19;7.791250;2.182293;0.851333;43.276543;
2016;2;10;20;7.828069;2.123515;0.718240;43.029758;
2016;2;10;21;7.921919;2.070704;0.647146;42.735668;
2016;2;10;22;8.447592;2.187504;0.667960;42.542869;
2016;2;10;23;8.226433;2.016331;0.588186;42.664777;
2016;2;11;0;8.363353;2.062188;0.550509;42.667218;
