Year;Month;Day;Hour;PM10;PM2.5;NO2;O3
2016;2;9;0;6.197127;1.962099;2.944754;40.970343;
2016;2;9;1;5.806778;1.688256;3.186786;40.176381;
2016;2;9;2;5.460190;1.605625;2.847332;40.509076;
2016;2;9;3;5.522501;1.730427;2.988660;39.713119;
2016;2;9;4;5.209894;1.567671;2.412646;41.883072;
2016;2;9;5;5.184888;1.652223;2.594874;41.365704;
2016;2;9;6;5.255280;1.768240;2.724600;41.039992;
2016;2;9;7;5.759501;2.142248;3.139013;40.218262;
2016;2;9;8;5.953018;2.372611;3.290529;40.348877;
2016;2;9;9;5.929842;2.411410;2.833980;41.061357;
2016;2;9;10;5.048307;1.852987;1.432848;43.507135;
2016;2;9;11;4.276511;1.594594;0.790117;45.188803;
2016;2;9;12;4.342095;1.563469;0.669037;45.682882;
2016;2;9;13;4.720593;1.657656;0.869286;45.329210;
2016;2;9;14;4.851349;1.664048;0.741375;45.703169;
2016;2;9;15;5.093100;1.700453;0.610036;45.862479;
2016;2;9;16;5.845207;1.886906;0.781906;45.336676;
2016;2;9;17;6.505130;2.025263;0.951223;44.684473;
2016;2;9;18;7.658342;2.277202;1.270447;44.729407;
2016;2;9;19;8.543971;2.486750;1.413800;44.420014;
2016;2;9;20;8.946913;2.705653;1.490488;43.942160;
2016;2;9;21;8.913146;2.775744;1.465967;43.879284;
2016;2;9;22;8.940660;2.870058;1.455306;43.692212;
2016;2;9;23;8.852179;2.855310;1.345138;43.638674;
2016;2;10;0;9.018482;2.820829;1.240052;43.560193;
2016;2;10;1;9.327183;2.834929;1.165123;43.592167;
2016;2;10;2;9.392609;2.880841;1.145342;43.473217;
2016;2;10;3;9.598799;2.811921;1.036794;43.546571;
2016;2;10;4;10.458080;2.903235;1.025521;43.253429;
2016;2;10;5;10.188502;2.888704;1.013022;43.167455;
2016;2;10;6;10.573923;2.957988;0.998169;43.127298;
2016;2;10;7;11.788035;3.363434;1.214457;42.473001;
2016;2;10;8;12.653500;3.604387;1.430550;41.858260;
2016;2;10;9;13.279474;3.763902;1.462839;40.416206;
2016;2;10;10;12.469538;3.522810;1.386167;40.100242;
2016;2;10;11;11.384840;3.171524;1.226993;40.469881;
2016;2;10;12;10.930179;2.940870;1.135687;40.887975;
2016;2;10;13;10.321351;2.688768;1.059747;41.539002;
2016;2;10;14;9.144330;2.236025;1.036440;41.967519;
2016;2;10;15;8.529175;2.102987;1.174373;41.836041;
2016;2;10;16;8.053974;2.069479;1.268304;41.887840;
2016;2;10;17;7.397849;1.999179;1.361504;42.267866;
2016;2;10;18;7.548787;2.142680;1.830842;42.570561;
2016;2;10;19;7.945008;2.369198;2.131112;42.276924;
2016;2;10;20;8.074119;2.537916;2.469003;41.151325;
2016;2;10;21;7.894826;2.581526;2.653306;40.559153;
2016;2;10;22;7.209432;2.363053;2.559266;40.948113;
2016;2;10;23;5.940472;2.038567;2.230724;41.954352;
2016;2;11;0;5.132778;1.834983;2.026170;42.568236;
