Year;Month;Day;Hour;PM10;PM2.5;NO2;O3
2016;2;9;0;5.936899;1.379853;1.182918;45.734891;
2016;2;9;1;6.441425;1.558949;1.423429;45.086234;
2016;2;9;2;6.418940;1.571940;1.317608;45.163275;
2016;2;9;3;6.170401;1.526320;1.164763;45.282469;
2016;2;9;4;6.262384;1.580777;1.126597;45.201195;
2016;2;9;5;6.434095;1.682401;1.111980;45.280485;
2016;2;9;6;6.664363;1.801425;1.041020;45.449780;
2016;2;9;7;7.381033;2.045957;1.014419;45.515841;
2016;2;9;8;8.109603;2.299034;1.017966;45.505309;
2016;2;9;9;8.445192;2.430837;0.976177;45.587960;
2016;2;9;10;8.403115;2.429673;0.938636;45.749605;
2016;2;9;11;8.228189;2.370874;0.769338;46.188633;
2016;2;9;12;9.026078;2.619375;0.759350;46.265505;
2016;2;9;13;9.795795;2.880039;0.714042;46.464773;
2016;2;9;14;10.952655;3.247203;0.867588;46.084011;
2016;2;9;15;11.123406;3.315681;0.831619;46.279655;
2016;2;9;16;11.348817;3.370612;1.015825;45.872702;
2016;2;9;17;11.654367;3.443512;1.111624;45.574469;
2016;2;9;18;10.581052;3.035814;1.035278;45.712056;
2016;2;9;19;10.534279;3.014562;1.059048;45.567361;
2016;2;9;20;11.458178;3.345896;1.043368;45.359257;
2016;2;9;21;11.315810;3.285384;0.977954;45.407660;
2016;2;9;22;11.041976;3.157516;0.990286;45.247294;
2016;2;9;23;11.869098;3.368017;1.049705;44.738565;
2016;2;10;0;13.007934;3.661832;1.066344;44.268801;
2016;2;10;1;13.622157;3.808525;0.995321;44.110575;
2016;2;10;2;14.397112;3.983314;0.970572;43.921182;
2016;2;10;3;14.482410;3.958979;0.953044;43.962669;
2016;2;10;4;14.846761;4.167831;0.970140;43.815101;
2016;2;10;5;15.203442;4.317495;0.953048;43.870168;
2016;2;10;6;14.993943;4.256615;0.921607;43.916400;
2016;2;10;7;14.834122;4.155993;0.957465;43.887009;
2016;2;10;8;14.464230;3.908574;1.000016;43.881865;
2016;2;10;9;13.507025;3.515649;0.948672;44.004818;
2016;2;10;10;13.040490;3.347509;0.832647;44.305588;
2016;2;10;11;11.930181;2.883767;0.721720;44.888067;
2016;2;10;12;11.519222;2.642336;0.702273;45.142325;
2016;2;10;13;10.697053;2.327973;0.717523;45.102769;
2016;2;10;14;9.550951;2.115052;0.897842;45.010665;
2016;2;10;15;9.443645;2.185270;1.091710;44.709230;
2016;2;10;16;8.920329;2.080150;1.304243;44.370503;
2016;2;10;17;8.528969;2.063310;1.572789;43.901864;
2016;2;10;18;7.729852;2.025916;1.816495;43.629843;
2016;2;10;19;6.420508;1.847508;1.695847;43.979298;
2016;2;10;20;6.427310;1.915261;1.574781;44.308198;
2016;2;10;21;7.895330;2.377596;1.767343;43.983055;
2016;2;10;22;8.822361;2.661453;1.916126;43.579774;
2016;2;10;23;8.829802;2.672126;1.814572;43.611284;
2016;2;11;0;8.363139;2.592867;1.462948;44.244456;
