Year;Month;Day;Hour;PM10;PM2.5;NO2;O3
2016;2;10;0;16.815081;4.937300;1.088354;43.166224;
2016;2;10;1;16.427505;4.753886;1.207827;42.989368;
2016;2;10;2;15.656484;4.575519;1.199438;42.975140;
2016;2;10;3;13.927032;4.125042;1.151335;43.121244;
2016;2;10;4;14.374249;4.378512;1.224933;42.945371;
2016;2;10;5;12.849298;4.089654;1.376359;43.190922;
2016;2;10;6;13.267765;4.699545;2.117249;42.692139;
2016;2;10;7;13.699648;4.813203;2.549333;42.345513;
2016;2;10;8;13.955540;4.728123;2.423819;42.300904;
2016;2;10;9;14.348268;4.755020;2.054774;42.149895;
2016;2;10;10;16.069571;5.276798;1.887056;41.763545;
2016;2;10;11;16.071982;5.162564;1.798947;41.659654;
2016;2;10;12;15.042765;4.777475;1.979329;41.565720;
2016;2;10;13;14.661018;4.642153;2.126695;41.374759;
2016;2;10;14;14.384719;4.511624;2.309450;41.058496;
2016;2;10;15;12.094639;3.834964;2.441064;41.323607;
2016;2;10;16;10.554063;3.458907;2.833934;41.247325;
2016;2;10;17;9.979317;3.400586;2.956386;41.312511;
2016;2;10;18;9.821464;3.563323;2.702916;41.803599;
2016;2;10;19;9.577779;3.597948;2.336203;41.958536;
2016;2;10;20;8.340393;3.121639;1.884138;42.373802;
2016;2;10;21;8.559750;3.128345;1.656253;42.319585;
2016;2;10;22;8.649140;2.987049;1.567994;42.118587;
2016;2;10;23;7.900898;2.440200;1.296022;42.332676;
2016;2;11;0;7.841559;2.397885;1.157960;42.361716;
2016;2;11;1;7.991192;2.433938;1.157123;42.356986;
2016;2;11;2;8.182267;2.517305;1.186071;42.427538;
2016;2;11;3;7.770472;2.416077;1.062985;42.923050;
2016;2;11;4;8.087717;2.537633;1.063677;43.031209;
2016;2;11;5;8.436611;2.743755;1.228688;42.835375;
2016;2;11;6;9.435031;3.498108;2.009529;42.107322;
2016;2;11;7;9.765985;3.700094;2.805557;41.462547;
2016;2;11;8;9.620571;3.503054;2.499193;41.763842;
2016;2;11;9;8.617544;3.147958;1.909600;42.502162;
2016;2;11;10;8.507666;3.135886;1.836904;42.537505;
2016;2;11;11;8.259554;3.086761;1.721284;42.764593;
2016;2;11;12;7.729797;2.865701;1.519139;43.277656;
2016;2;11;13;7.702577;2.863377;1.253910;44.074056;
2016;2;11;14;7.150235;2.654894;1.164166;44.469392;
2016;2;11;15;7.197281;2.673562;1.307851;44.297729;
2016;2;11;16;7.546403;2.819870;1.743647;43.718914;
2016;2;11;17;8.666209;3.351634;2.770463;42.299533;
2016;2;11;18;9.651280;3.802735;2.787078;42.311875;
2016;2;11;19;10.547034;4.243258;2.777558;42.010779;
2016;2;11;20;11.132167;4.461477;2.733836;41.958200;
2016;2;11;21;11.666914;4.673499;2.754180;41.920311;
2016;2;11;22;11.362361;4.223260;2.581637;42.099611;
2016;2;11;23;9.865996;3.092909;1.778631;43.227016;
2016;2;12;0;9.176274;2.646720;1.320709;43.946190;
