Year;Month;Day;Hour;PM10;PM2.5;NO2;O3
2016;2;13;0;26.015398;7.156428;0.846895;41.043969;
2016;2;13;1;26.240948;7.385370;0.827579;41.451189;
2016;2;13;2;27.212521;7.782218;0.857803;41.583908;
2016;2;13;3;28.349265;8.156247;0.899081;41.579106;
2016;2;13;4;29.763355;8.493885;1.010012;41.353807;
2016;2;13;5;30.276017;8.618654;1.130641;41.232317;
2016;2;13;6;29.599802;8.588634;1.231093;41.306500;
2016;2;13;7;29.542136;8.704556;1.522111;41.062528;
2016;2;13;8;26.364595;7.789683;1.761477;41.128887;
2016;2;13;9;24.266816;7.441140;2.359560;40.520447;
2016;2;13;10;23.582775;6.966598;2.107172;40.928382;
2016;2;13;11;21.219173;5.896560;1.672134;41.969270;
2016;2;13;12;23.821639;6.687946;1.317648;42.150709;
2016;2;13;13;27.232524;7.784926;1.223293;42.022156;
2016;2;13;14;27.796420;7.987755;0.972827;42.739530;
2016;2;13;15;27.271269;8.153477;0.847975;43.271137;
2016;2;13;16;27.749040;8.750523;0.826480;43.424954;
2016;2;13;17;27.257707;8.811620;0.854221;43.443438;
2016;2;13;18;23.675714;7.423361;0.850525;43.669406;
2016;2;13;19;20.819008;6.274176;0.810696;43.451748;
2016;2;13;20;19.906036;5.837306;0.772180;43.270272;
2016;2;13;21;21.003811;6.283814;0.731389;42.988873;
2016;2;13;22;20.064945;6.173748;0.691391;42.798770;
2016;2;13;23;21.363239;6.833993;0.658633;42.419489;
2016;2;14;0;23.439132;7.680959;0.698272;42.003236;
2016;2;14;1;22.039912;7.236982;0.701967;42.234510;
2016;2;14;2;20.712621;6.828991;0.694602;42.480173;
2016;2;14;3;20.972145;7.091802;0.657216;42.364984;
2016;2;14;4;21.558919;7.640499;0.594254;42.353793;
2016;2;14;5;22.824896;8.480487;0.576223;42.322945;
2016;2;14;6;24.374314;9.512608;0.600458;42.095053;
2016;2;14;7;24.794316;9.888069;0.573875;41.960594;
2016;2;14;8;28.930294;11.848723;0.540311;41.679619;
2016;2;14;9;28.307162;11.540494;0.464622;41.968590;
2016;2;14;10;26.903419;10.945081;0.397728;42.262098;
2016;2;14;11;26.319024;10.785157;0.357478;42.591908;
2016;2;14;12;24.569049;10.007376;0.334346;43.349250;
2016;2;14;13;23.397865;9.553757;0.347184;44.208759;
2016;2;14;14;23.791338;9.609837;0.365142;44.922815;
2016;2;14;15;24.092466;9.712183;0.395727;45.763343;
2016;2;14;16;25.435663;10.438928;0.455808;46.236732;
2016;2;14;17;25.477282;10.647453;0.594793;46.454899;
2016;2;14;18;24.314494;10.097523;0.642918;46.876935;
2016;2;14;19;25.445874;10.724489;0.666311;46.807784;
2016;2;14;20;26.615502;11.408436;0.707516;46.961841;
2016;2;14;21;26.014829;11.105637;0.705749;47.344761;
2016;2;14;22;25.788985;10.879383;0.650731;47.540892;
2016;2;14;23;26.303534;10.991548;0.590700;47.328925;
2016;2;15;0;26.999118;11.284331;0.569766;46.489594;
