Year;Month;Day;Hour;PM10;PM2.5;NO2;O3
2016;2;12;0;9.045207;2.691723;1.385399;43.133569;
2016;2;12;1;10.159202;2.808653;1.287650;42.903564;
2016;2;12;2;9.484208;2.576081;1.159690;43.598979;
2016;2;12;3;9.438112;2.486295;1.029304;43.989128;
2016;2;12;4;9.059416;2.376317;0.905423;44.505101;
2016;2;12;5;7.861752;2.112427;0.845628;45.349707;
2016;2;12;6;6.459807;1.849721;0.842926;46.096111;
2016;2;12;7;6.857877;1.985009;0.859886;45.900935;
2016;2;12;8;7.183004;2.044306;0.859697;45.552295;
2016;2;12;9;7.125227;1.987509;0.832859;45.282695;
2016;2;12;10;6.870733;1.878612;0.826273;45.190212;
2016;2;12;11;7.309022;2.032324;0.882606;44.978804;
2016;2;12;12;7.789968;2.269179;1.009271;44.729848;
2016;2;12;13;7.800055;2.153807;0.918200;44.451927;
2016;2;12;14;8.224099;2.024906;0.819631;44.011042;
2016;2;12;15;8.504513;2.002029;0.806301;43.754998;
2016;2;12;16;9.752050;2.416563;0.858595;43.284079;
2016;2;12;17;11.900646;3.105301;0.997271;42.543101;
2016;2;12;18;11.930565;2.975005;1.007593;42.416841;
2016;2;12;19;10.821720;2.239930;0.873254;42.674135;
2016;2;12;20;11.010984;2.133866;0.823375;42.522200;
2016;2;12;21;10.874859;1.990004;0.763593;42.415955;
2016;2;12;22;11.423650;2.062118;0.800033;41.990178;
2016;2;12;23;11.613477;2.050846;0.779853;41.825260;
2016;2;13;0;12.185284;2.387075;0.788977;41.647796;
2016;2;13;1;13.113316;2.912333;0.796219;41.623183;
2016;2;13;2;11.968737;2.829486;0.723819;42.920456;
2016;2;13;3;11.527928;2.811578;0.686999;43.468614;
2016;2;13;4;12.218918;3.045049;0.698759;43.399758;
2016;2;13;5;12.515612;3.124473;0.685853;43.377790;
2016;2;13;6;12.960285;3.238504;0.700753;43.294379;
2016;2;13;7;13.460220;3.389144;0.761931;43.044062;
2016;2;13;8;13.270916;3.253206;0.782875;42.953911;
2016;2;13;9;12.904908;3.117988;0.785312;43.017816;
2016;2;13;10;12.037357;2.862457;0.710877;43.320067;
2016;2;13;11;12.108569;2.954793;0.691604;43.410028;
2016;2;13;12;11.524020;2.845070;0.573002;44.057508;
2016;2;13;13;11.419928;2.933360;0.518483;44.717523;
2016;2;13;14;12.775512;3.498401;0.573648;44.960866;
2016;2;13;15;12.751801;3.516318;0.688108;44.971496;
2016;2;13;16;12.228855;3.366437;0.709996;45.020777;
2016;2;13;17;11.893071;3.192491;0.739355;45.081667;
2016;2;13;18;11.115102;2.882582;0.773091;45.212785;
2016;2;13;19;10.241690;2.513639;0.732056;45.456316;
2016;2;13;20;10.222981;2.426798;0.734332;45.395426;
2016;2;13;21;9.696443;2.252469;0.715271;45.355270;
2016;2;13;22;9.488958;2.208790;0.740906;44.989718;
2016;2;13;23;9.377553;2.311033;0.751614;44.832177;
2016;2;14;0;9.442964;2.415939;0.767334;44.486004;
