Código;Nome actual;Nome antigo;SIGLA;Ambiente;Influencia;LON;LAT;Zona;Concelho
3082;Alfragide/Amadora;;ALF;Urbana;Fundo;-9.208;38.738;AML Norte (a);Amadora
3101;Alverca;;ALV;Urbana;Fundo;-9.04;38.896;AML Norte (a);Vila Franca de Xira
1054;Anta-Espinho;Espinho;ESP;Suburbana;Fundo;-8.643;41.006;Porto Litoral (a);Espinho
3093;Arcos;;ARC;Urbana;Fundo;-8.894;38.529;Setúbal (a);Setúbal
2017;Aveiro;;AVE;Urbana;Trafego;-8.647;40.636;Aveiro / Ílhavo (a);Aveiro
3075;Avenida da Liberdade;;AVL;Urbana;Trafego;-9.148;38.719;AML Norte (a);Lisboa
1053;Avintes;;AVI;Urbana;Fundo;-8.556;41.097;Porto Litoral (a);Gaia
3070;Beato;;BEA;Urbana;Fundo;-9.114;38.733;AML Norte (a);Lisboa
1052;Burgães-Santo Tirso;Santo Tirso;STR;Urbana;Fundo;-8.477;41.346;Vale do Ave (a);Santo Tirso
3090;Cascais-Mercado;;CAS;Urbana;Trafego;-9.423;38.7;AML Norte (a);Cascais
5012;Cerro;;CER;Rural;Fundo;-7.68;37.312;Algarve;Alcoutim
3096;Chamusca;;CHA;Rural;Fundo;-8.468;39.353;Vale do Tejo e Oeste;Chamusca
2006;Coimbra/Avenida Fernão Magalhães;;COI;Urbana;Trafego;-8.434;40.216;Coimbra (a);Coimbra
1046;Cónego Dr. Manuel Faria-Azurém;;AZU;Urbana;Trafego;-8.296;41.449;Vale do Ave (a);Guimarães
1021;Custóias-Matosinhos;Custóias;CUS;Suburbana;Fundo;-8.645;41.201;Porto Litoral (a);Matosinhos
1024;D.Manuel II-Vermoim;;VER;Urbana;Trafego;-8.618;41.237;Porto Litoral (a);Maia
5011;David Neto;;DVN;Urbana;Trafego;-8.543;37.138;Portimão / Lagoa (a);Portimão
1048;Douro Norte;Lamas de Olo;DRN;Rural;Fundo;-7.789;41.37;Norte Interior;Vila Real
3072;Entrecampos;;ENT;Urbana;Trafego;-9.151;38.747;AML Norte (a);Lisboa
1023;Ermesinde-Valongo;Ermesinde;ERM;Urbana;Fundo;-8.551;41.217;Porto Litoral (a);Valongo
2019;Ervedeira;;ERV;Rural;Fundo;-8.893;39.922;Centro Litoral;Leiria
3095;Escavadeira;;ESC;Urbana;Industrial;-9.067;38.661;AML Sul (a);Barreiro
2004;Estarreja/Teixugueira;;TEI;Suburbana;Industrial;-8.583;40.75;ZI. de Estarreja;Estarreja
3099;Fernando Pó;;FPO;Rural;Fundo;-8.691;38.636;Península de Setúbal / Alcácer do Sal;Palmela
3103;Fidalguinhos;;FID;Urbana;Fundo;-9.049;38.65;AML Sul (a);Barreiro
2021;Fornelo do Monte;;FRN;Rural;Fundo;-8.1;40.64;Centro Interior;Vouzela
1041;Fr Bartolomeu Mártires-S.Vitor;;FRB;Urbana;Trafego;-8.406;41.55;Braga (a);Braga
1028;Francisco Sá Carneiro-Campanha;Antas;FSC;Urbana;Trafego;-8.59;41.164;Porto Litoral (a);Porto
1042;Frossos-Braga;Horto;FRO;Suburbana;Fundo;-8.454;41.566;Braga (a);Braga
2020;Fundão;;FUN;Rural;Fundo;-7.3;40.232;Centro Interior;Fundão
2018;Ílhavo;;ILH;Suburbana;Fundo;-8.672;40.588;Aveiro / Ílhavo (a);Ílhavo
2016;Instituto Geofísico de Coimbra;;IGE;Urbana;Fundo;-8.412;40.206;Coimbra (a);Coimbra
1030;João Gomes Laranjo-S.Hora;;SRH;Urbana;Trafego;-8.662;41.184;Porto Litoral (a);Matosinhos
5007;Joaquim Magalhães;;JMG;Urbana;Fundo;-7.928;37.014;Faro / Olhão (a);Faro
3083;Laranjeiro;;LAR;Urbana;Fundo;-9.159;38.663;AML Sul (a);Almada
3055;Lavradio;;LAV;Urbana;Industrial;-9.049;38.668;AML Sul (a);Barreiro
1034;Leça do Balio-Matosinhos;Leça do Balio;LEC;Suburbana;Fundo;-8.63;41.22;Porto Litoral (a);Matosinhos
3085;Loures-Centro;;LOU;Urbana;Fundo;-9.166;38.828;AML Norte (a);Loures
3102;Lourinhã;;LNH;Rural;Fundo;-9.246;39.278;Vale do Tejo e Oeste;Lourinhã
5008;Malpique;;MAL;Urbana;Fundo;-8.251;37.091;Albufeira / Loulé (a);Albufeira
1025;Meco-Perafita;Perafita;PER;Suburbana;Industrial;-8.712;41.232;Porto Litoral (a);Matosinhos
